Id,PostId,Score,Text,CreationDate,UserId
"107579302","10999165","0","@Eric-Brotto For your answer to be complete, you need to add the `git fetch -p` command to fetch changes on other machines","2020-03-22 08:54:54","5649639"
"45056138","21890252","0","I was hoping the following would work, it doesn't quite: `f(){c=$(git rev-list ${1}..head --count); git reset --soft HEAD~$c && git commit --edit -m\""$(git log --format=%B --reverse ${1}..head)\""; }`","2015-02-06 12:04:29","1240268"
"45056506","21402241","3","That centers it vertically.","2015-02-06 12:24:56","274561"
"45061280","373848","14","What slier said:  you cannot `git reset --hard <commit hash> <filename>`. This will error with `fatal: Cannot do hard reset with paths.` What Motti Strom said: use `git checkout <commit hash> <filename>`","2015-02-06 05:36:26","99717"
"45061523","727725","59","The '--' is not only a git convention, but something you find in various places in on the *nix commandline.  `rm -- -f` (remove a file named `-f`) seems to be the canonical example. [More detail here](http://stackoverflow.com/a/1192194/99717)","2015-02-06 05:49:24","99717"
"29436734","64966","2","Note that -x or -X flags remove the files ignored by .gitignore, but not those ignored by `update-index --assume-unchanged`.","2013-11-05 10:52:37","134536"
"6187","67458","12","Another reason to use double quotes is in case $DIRECTORY is not set for some reason.","2008-09-15 10:41:21","1438"
"6207","67712","1","You can run git commands with or without the hyphen. Both ""git-branch"" and ""git branch"" will work.","2008-09-15 10:55:19","9360"
"91655809","11766839","0","But how can you use PUT to create a new resource if it doesn't exist, while your ID generation method is on Auto Increment ? Usually ORM's does auto generate the ID for you, like the way you want it to be in a POST for example. Does it mean that if you want to implement PUT the right way you have to change your id auto generation ? This is awkward if the answer is yes.","2018-09-16 03:28:21","1183020"
"9652","79988","17","A recommendation to avoid using the heap is pretty strong. Modern systems have good heap managers, and modern dynamic languages use the heap extensively (without the programmer really worrying about it). I'd say use the heap, but with a manual allocator, don't forget to free!","2008-09-17 04:31:42","893"
"9662","79988","2","If you can use the stack or the heap, use the stack. If you can't use the stack, really no choice. I use both a lot, and of course using std::vector or similar hits the heap. For a novice, you avoid the heap because the stack is simply so easy!!","2008-09-17 04:35:51","11440"
"9666","79997","2","Also worth mentioning here that intel heavily optimizes stack accesses, especially things such as predicting where you return from a function.","2008-09-17 04:37:38","11440"
"10572","67748","15","You don't need refs/remotes here. git checkout -b dev origin/dev will work fine.","2008-09-17 01:10:34","12089"
"107589354","348170","0","if readers like to use GUI, you can right-click a file and click reset, or unstage","2020-03-23 09:04:17","964196"
