PostId,TagId
"901712","2"
"901712","3"
"901712","469"
"901712","820"
"762011","3"
"762011","2182"
"762011","3660"
"762011","14467"
"762011","86033"
"679915","3"
"679915","50067"
"671118","48"
"671118","364"
"671118","5210"
"671118","6960"
"630453","364"
"630453","904"
"630453","5210"
"630453","6658"
"522563","16"
"522563","2314"
"522563","5608"
"509211","16"
"509211","2685"
"509211","5608"
"509211","20851"
"503093","3"
"503093","820"
"503093","1190"
"487258","248"
"487258","623"
"487258","624"
"487258","1538"
"487258","16088"
"477816","1508"
"477816","2983"
"477816","42676"
"426258","3"
"426258","469"
"426258","820"
"426258","13986"
"426258","33786"
"419163","16"
"419163","2274"
"419163","3485"
"419163","3664"
"419163","5686"
"417142","27"
"417142","365"
"417142","5210"
"406230","18"
"406230","37904"
"394809","16"
"394809","7992"
"394809","8995"
"394809","15904"
"388242","10"
"388242","8216"
"359494","3"
"359494","4197"
"359494","7992"
"359494","58501"
"359494","75999"
"348170","119"
"292357","119"
"292357","456"
"292357","28896"
"292357","33720"
"273192","16"
"273192","218"
"273192","1987"
"273192","5142"
"273192","6268"
"271526","17"
"271526","694"
"271526","11549"
"244777","1508"
"244777","1966"
"231767","16"
"231767","2097"
"231767","3539"
"231767","6659"
"231767","17016"
"221294","3"
"215718","119"
"215718","456"
"215718","37230"
"208105","3"
"179123","119"
"179123","30968"
"179123","53850"
"179123","91259"
"178325","3"
"178325","820"
"178325","1644"
"178325","2181"
"176264","365"
"176264","2244"
"176264","5210"
"176264","27853"
"176264","29720"
"161813","119"
"161813","28897"
"161813","62599"
"161813","106113"
"136097","16"
"136097","137"
"136097","361"
"136097","88242"
"134845","2"
"134845","3"
"134845","543"
"134845","598"
"134845","8973"
"122102","3"
"122102","3050"
"122102","6981"
"115983","119"
"115983","218"
"115983","34792"
"114543","2"
"114543","4"
"114543","9132"
"114543","43000"
"111102","3"
"111102","276"
"111102","1680"
"111102","2182"
"111102","5569"
"105372","1"
"105372","9"
"105372","1078"
"105372","2314"
"105372","2684"
"105034","3"
"105034","946"
"105034","3567"
"100003","16"
"100003","137"
"100003","5177"
"100003","31802"
"100003","143413"
"89228","16"
"89228","390"
"89228","391"
"89228","1796"
"89228","2348"
"82831","16"
"82831","5310"
"82831","32002"
"79923","33"
"79923","1090"
"79923","2678"
"79923","7428"
"79923","29274"
"67699","119"
"67699","31678"
"67699","34099"
"67699","76220"
"61212","119"
"61212","1879"
"61212","76220"
"59895","218"
"59895","387"
"59838","34"
"59838","387"
"59838","390"
"59838","1993"
"52704","119"
"52704","456"
"46155","3"
"46155","18"
"46155","146"
"46155","355"
"46155","10343"
"40480","17"
"40480","361"
"40480","10355"
"40480","11658"
"40480","11659"
"40471","17"
"40471","343"
"40471","5189"
"40471","7430"
"38987","16"
"38987","717"
"38987","1834"
"38549","22"
"38549","30"
"38549","3626"
"38549","7954"
"38549","14691"
"7074","1"
"7074","9"
"7074","139"
"7074","1448"
"7074","1926"
"549","33"
"549","136"
"549","183"
"549","318"
"549","5210"
"22343224","46426"
"22343224","61387"
"22343224","77128"
"22343224","108901"
"16956810","58"
"16956810","218"
"16956810","1271"
"16956810","1469"
"16956810","10193"
"16047306","90304"
"14994391","3"
"14994391","820"
"14994391","78022"
"14415881","33"
"14415881","134"
"14415881","248"
"14415881","14914"
"14220321","3"
"14220321","363"
"14220321","820"
"14220321","2443"
"11828270","293"
"11828270","370"
"9329446","3"
"9329446","114"
"9329446","227"
"9329446","631"
"9329446","2314"
"8318911","2"
"8318911","27"
"8318911","19230"
"7244321","119"
"7244321","5962"
"1335851","3"
"1335851","367"
"1335851","6837"
"1335851","40180"
"1274057","119"
"1274057","25056"
"1274057","112901"
"1144783","3"
"1144783","139"
"1144783","2498"
"1125968","119"
"1125968","456"
"1125968","8000"
"1125968","28896"
"1125968","33720"
"1109022","1386"
"1109022","47735"
"1109022","59797"
"1109022","63226"
"1109022","64956"
"1026069","3"
"1026069","139"
"1026069","7347"
"1026069","11788"
"952914","16"
"952914","5608"
"952914","16609"
"952914","25430"
"950087","3"
"950087","432"
"950087","5310"
"950087","10402"
"927358","119"
"927358","456"
"927358","5766"
"927358","53850"
"826782","4"
"826782","6752"
"826782","9116"
"826782","19691"
"336859","3"
"336859","367"
"336859","3485"
"336859","5569"
"309424","17"
"309424","139"
"309424","345"
"309424","5276"
"309424","8257"
"237104","3"
"237104","114"
"237104","248"
"237104","16088"
"237104","50067"
"11227809","10"
"11227809","17"
"11227809","598"
"11227809","9798"
"11227809","74984"
"6841333","17"
"6841333","982"
"6841333","5002"
"6591213","119"
"6591213","456"
"6591213","76220"
"5767325","3"
"5767325","114"
"5480258","119"
"5480258","60718"
"5189560","119"
"5189560","8974"
"5189560","42532"
"5189560","98455"
"4456438","38"
"4456438","463"
"4456438","1608"
"4456438","1609"
"4456438","1709"
"4114095","119"
"4114095","34403"
"4114095","37230"
"4114095","51381"
"4089430","119"
"4089430","5962"
"4089430","41346"
"3737139","5"
"3737139","2313"
"3737139","2743"
"3737139","7992"
"3737139","101751"
"2765421","119"
"2765421","7330"
"2765421","28898"
"2765421","41346"
"2765421","76220"
"2669690","3"
"2669690","136"
"2669690","363"
"2669690","1508"
"2610497","2"
"2610497","4"
"2610497","9482"
"2610497","9786"
"2432764","119"
"2432764","365"
"2432764","41346"
"2389361","119"
"2389361","5766"
"2389361","28897"
"2334712","22"
"2334712","23"
"2334712","72"
"2334712","1151"
"2025282","865"
"2025282","1386"
"2025282","13012"
"2025282","20423"
"2025282","53233"
"2003505","119"
"2003505","456"
"2003505","28898"
"2003505","41346"
"2003505","76220"
"1789945","3"
"1789945","139"
"1789945","4371"
"1789945","17150"
"1783405","119"
"1783405","31678"
"1783405","37230"
"1642028","8"
"1642028","10"
"1642028","4162"
"1642028","7324"
"1642028","7992"
"1628563","119"
"1628563","53847"
"1628563","76220"
"1628088","119"
"1628088","5766"
