PostTypeId,Id,ParentId,Title,Body,OwnerUserId,Score,ViewCount,FavoriteCount,AcceptedAnswerId,CreationDate,LastEditDate,LastActivityDate
"1","11227809","","Why is processing a sorted array faster than processing an unsorted array?","<p>Here is a piece of C++ code that shows some very peculiar behavior. For some strange reason, sorting the data (<em>before</em> the timed region) miraculously makes the loop almost six times faster.</p>
<pre class=""lang-cpp prettyprint-override""><code>#include &lt;algorithm&gt;
#include &lt;ctime&gt;
#include &lt;iostream&gt;

int main()
{
    // Generate data
    const unsigned arraySize = 32768;
    int data[arraySize];

    for (unsigned c = 0; c &lt; arraySize; ++c)
        data[c] = std::rand() % 256;

    // !!! With this, the next loop runs faster.
    std::sort(data, data + arraySize);

    // Test
    clock_t start = clock();
    long long sum = 0;
    for (unsigned i = 0; i &lt; 100000; ++i)
    {
        for (unsigned c = 0; c &lt; arraySize; ++c)
        {   // Primary loop
            if (data[c] &gt;= 128)
                sum += data[c];
        }
    }

    double elapsedTime = static_cast&lt;double&gt;(clock()-start) / CLOCKS_PER_SEC;

    std::cout &lt;&lt; elapsedTime &lt;&lt; '\n';
    std::cout &lt;&lt; &quot;sum = &quot; &lt;&lt; sum &lt;&lt; '\n';
}
</code></pre>
<ul>
<li>Without <code>std::sort(data, data + arraySize);</code>, the code runs in 11.54 seconds.</li>
<li>With the sorted data, the code runs in 1.93 seconds.</li>
</ul>
<p>(Sorting itself takes more time than than this one pass over the array, so it's not actually worth doing if we needed to calculate this for an unknown array.)</p>
<hr />
<p>Initially, I thought this might be just a language or compiler anomaly, so I tried Java:</p>
<pre class=""lang-java prettyprint-override""><code>import java.util.Arrays;
import java.util.Random;

public class Main
{
    public static void main(String[] args)
    {
        // Generate data
        int arraySize = 32768;
        int data[] = new int[arraySize];

        Random rnd = new Random(0);
        for (int c = 0; c &lt; arraySize; ++c)
            data[c] = rnd.nextInt() % 256;

        // !!! With this, the next loop runs faster
        Arrays.sort(data);

        // Test
        long start = System.nanoTime();
        long sum = 0;
        for (int i = 0; i &lt; 100000; ++i)
        {
            for (int c = 0; c &lt; arraySize; ++c)
            {   // Primary loop
                if (data[c] &gt;= 128)
                    sum += data[c];
            }
        }

        System.out.println((System.nanoTime() - start) / 1000000000.0);
        System.out.println(&quot;sum = &quot; + sum);
    }
}
</code></pre>
<p>With a similar but less extreme result.</p>
<hr />
<p>My first thought was that sorting brings the data into the <a href=""https://en.wikipedia.org/wiki/CPU_cache"" rel=""noreferrer"">cache</a>, but then I thought how silly that was because the array was just generated.</p>
<ul>
<li>What is going on?</li>
<li>Why is processing a sorted array faster than processing an unsorted array?</li>
</ul>
<p>The code is summing up some independent terms, so the order should not matter.</p>
<hr />
<p><strong>Related / followup Q&amp;As</strong> about the same effect with different / later compilers and options:</p>
<ul>
<li><a href=""https://stackoverflow.com/q/66521344"">Why is processing an unsorted array the same speed as processing a sorted array with modern x86-64 clang?</a></li>
<li><a href=""https://stackoverflow.com/q/28875325"">gcc optimization flag -O3 makes code slower than -O2</a></li>
</ul>
","87234","25893","1645622","11448","11227902","2012-06-27 13:51:36","2021-08-10 19:28:46","2021-08-11 07:28:17"
"1","927358","","How do I undo the most recent local commits in Git?","<p>I accidentally <strong>committed the wrong files</strong> to <a href=""https://en.wikipedia.org/wiki/Git"" rel=""noreferrer"">Git</a>, but didn't push the commit to the server yet.</p>
<p>How can I <strong>undo those commits from the local repository</strong>?</p>
<p>The only way seems to be to copy the edits in some kind of GUI text editor, then wipe the whole local clone, then re-clone the repository, then re-applying the edits. However,</p>
<ul>
<li>This can cause data loss.</li>
<li>It's very hard to do this when only an accidental <code>git commit</code> was run.</li>
</ul>
<p>Is there a better way?</p>
","89904","23274","10001585","7308","927386","2009-05-29 18:09:14","2021-06-30 05:07:30","2021-10-05 13:26:47"
"1","2003505","","How do I delete a Git branch locally and remotely?","<p>I want to delete a branch both locally and remotely.</p>
<h3>Failed Attempts to Delete a Remote Branch</h3>
<pre class=""lang-sh prettyprint-override""><code>$ git branch -d remotes/origin/bugfix
error: branch 'remotes/origin/bugfix' not found.

$ git branch -d origin/bugfix
error: branch 'origin/bugfix' not found.

$ git branch -rd origin/bugfix
Deleted remote branch origin/bugfix (was 2a14ef7).

$ git push
Everything up-to-date

$ git pull
From github.com:gituser/gitproject

* [new branch] bugfix -&gt; origin/bugfix
Already up-to-date.
</code></pre>
<p>What should I do differently to successfully delete the <code>remotes/origin/bugfix</code> branch both locally and remotely?</p>
","95592","18451","9233751","5715","2003515","2010-01-05 01:12:15","2021-10-06 22:38:35","2021-10-06 22:38:35"
"1","292357","","What is the difference between 'git pull' and 'git fetch'?","<p>What are the differences between <code>git pull</code> and <code>git fetch</code>?</p>
","6068","12796","3031699","2494","292359","2008-11-15 09:51:09","2020-11-27 16:01:56","2021-09-24 09:00:30"
"1","231767","","What does the ""yield"" keyword do?","<p>What is the use of the <code>yield</code> keyword in Python? What does it do?</p>
<p>For example, I'm trying to understand this code<sup><strong>1</strong></sup>:</p>
<pre><code>def _get_child_candidates(self, distance, min_dist, max_dist):
    if self._leftchild and distance - max_dist &lt; self._median:
        yield self._leftchild
    if self._rightchild and distance + max_dist &gt;= self._median:
        yield self._rightchild  
</code></pre>
<p>And this is the caller:</p>
<pre><code>result, candidates = [], [self]
while candidates:
    node = candidates.pop()
    distance = node._get_dist(obj)
    if distance &lt;= max_dist and distance &gt;= min_dist:
        result.extend(node._values)
    candidates.extend(node._get_child_candidates(distance, min_dist, max_dist))
return result
</code></pre>
<p>What happens when the method <code>_get_child_candidates</code> is called?
Is a list returned? A single element? Is it called again? When will subsequent calls stop?</p>
<hr />
<sub>
1. This piece of code was written by Jochen Schulz (jrschulz), who made a great Python library for metric spaces. This is the link to the complete source: [Module mspace][1].</sub>
","18300","11512","2663824","6228","231855","2008-10-23 22:21:11","2021-06-12 19:47:06","2021-10-03 17:18:22"
"1","477816","","What is the correct JSON content type?","<p>I've been messing around with <a href=""http://en.wikipedia.org/wiki/JSON"" rel=""noreferrer"">JSON</a> for some time, just pushing it out as text and it hasn't hurt anybody (that I know of), but I'd like to start doing things properly.</p>

<p>I have seen <em>so</em> many purported ""standards"" for the JSON content type:</p>

<pre><code>application/json
application/x-javascript
text/javascript
text/x-javascript
text/x-json
</code></pre>

<p>But which one is correct, or best? I gather that there are security and browser support issues varying between them.</p>

<p>I know there's a similar question, <em><a href=""https://stackoverflow.com/questions/404470/what-mime-type-if-json-is-being-returned-by-a-rest-api"">What MIME type if JSON is being returned by a REST API?</a></em>, but I'd like a slightly more targeted answer.</p>
","12870","10894","3255775","1486","477819","2009-01-25 15:25:19","2021-09-13 20:02:42","2021-09-13 20:02:42"
"1","348170","","How do I undo 'git add' before commit?","<p>I mistakenly added files to Git using the command:</p>

<pre><code>git add myfile.txt
</code></pre>

<p>I have not yet run <code>git commit</code>. Is there a way to undo this, so these files won't be included in the commit?</p>
","14069","10045","3957650","1687","348234","2008-12-07 21:57:46","2021-01-26 12:23:18","2021-09-20 09:10:31"
"1","5767325","","How can I remove a specific item from an array?","<p>I have an array of numbers and I'm using the <code>.push()</code> method to add elements to it.</p>

<p>Is there a simple way to remove a specific element from an array?</p>

<p>I'm looking for the equivalent of something like:</p>

<pre class=""lang-js prettyprint-override""><code>array.remove(number);
</code></pre>

<p>I have to use <em>core</em> JavaScript. Frameworks are not allowed.</p>
","364969","9877","8860159","1493","5767357","2011-04-23 22:17:18","2020-05-21 04:20:03","2021-09-24 08:51:22"
"1","6591213","","How do I rename a local Git branch?","<p>I don't want to rename a remote branch, as described in <em><a href=""https://stackoverflow.com/questions/1526794/rename-master-branch-for-both-local-and-remote-git-repositories?answertab=votes#tab-top"">Rename master branch for both local and remote Git repositories</a></em>.</p>
<p>How can I rename a local branch which hasn't been pushed to a remote repository?</p>
<p>In case you need to rename a <strong>remote</strong> branch as well:<br />
<em><a href=""https://stackoverflow.com/questions/30590083/how-to-rename-a-remote-git-branch-name/30590238#30590238"">How do I rename both a Git local and remote branch name?</a></em></p>
","338204","9747","3691189","1452","6591218","2011-07-06 03:20:36","2021-08-16 07:13:17","2021-08-16 07:13:17"
"1","1642028","","What is the ""-->"" operator in C/C++?","<p>After reading <a href=""http://groups.google.com/group/comp.lang.c++.moderated/msg/33f173780d58dd20"" rel=""noreferrer"">Hidden Features and Dark Corners of C++/STL</a> on <code>comp.lang.c++.moderated</code>, I was completely surprised that the following snippet compiled and worked in both Visual Studio 2008 and G++ 4.4.</p>
<p>Here's the code:</p>
<pre><code>#include &lt;stdio.h&gt;
int main()
{
    int x = 10;
    while (x --&gt; 0) // x goes to 0
    {
        printf(&quot;%d &quot;, x);
    }
}
</code></pre>
<p>Output:</p>
<pre><code>9 8 7 6 5 4 3 2 1 0
</code></pre>
<p>I'd assume this is C, since it works in GCC as well. Where is this defined in the standard, and where has it come from?</p>
","87234","9539","875980","2183","1642035","2009-10-29 06:57:45","2021-02-11 16:34:02","2021-09-28 05:59:25"
"1","79923","","What and where are the stack and heap?","<p>Programming language books explain that value types are created on the <strong>stack</strong>, and reference types are created on the <strong>heap</strong>, without explaining what these two things are. I haven't read a clear explanation of this.  I understand what <em>a stack</em> is. But, </p>

<ul>
<li>Where and what are they (physically in a real computer's memory)?</li>
<li>To what extent are they controlled by the OS or language run-time?</li>
<li>What is their scope?</li>
<li>What determines the size of each of them?</li>
<li>What makes one faster? </li>
</ul>
","13161","8708","1659798","5097","80113","2008-09-17 04:18:06","2021-06-13 11:54:07","2021-09-03 19:16:47"
"1","244777","","Can comments be used in JSON?","<p>Can I use comments inside a JSON file? If so, how?</p>
","4105","8545","2863155","835","244858","2008-10-28 20:39:03","2016-07-22 15:39:20","2021-08-24 15:27:40"
"1","1125968","","Git: How do I force ""git pull"" to overwrite local files?","<p>How do I force an overwrite of local files on a <code>git pull</code>?</p>

<p><strong>The scenario is the following:</strong></p>

<ul>
<li>A team member is modifying the templates for a website we are working on</li>
<li>They are adding some images to the images directory (but forgets to add them under source control)</li>
<li>They are sending the images by mail, later, to me</li>
<li>I'm adding the images under the source control and pushing them to GitHub together with other changes</li>
<li>They cannot pull updates from GitHub because Git doesn't want to overwrite their files.</li>
</ul>

<p><strong>This is the error I'm getting:</strong></p>

<blockquote>
  <p>error: Untracked working tree file 'public/images/icon.gif' would be overwritten by merge</p>
</blockquote>

<p>How do I force Git to overwrite them? The person is a designer - usually, I resolve all the conflicts by hand, so the server has the most recent version that they just need to update on their computer.</p>
","98046","8258","6073747","2933","8888015","2009-07-14 14:58:15","2021-08-30 09:18:35","2021-09-06 05:37:53"
"1","8318911","","Why does HTML think “chucknorris” is a color?","<p>Why do certain random strings produce colors when entered as background colors in HTML?</p>
<p>For example:</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;body bgcolor=""chucknorris""&gt; test &lt;/body&gt;</code></pre>
</div>
</div>
</p>
<p>...produces a document with a <strong>red background</strong> across all browsers and platforms.</p>
<p>On the other hand, <code>chucknorr</code> produces a <strong>yellow background</strong>!</p>
<p>What’s going on here?</p>
","456584","8232","688257","1866","8333464","2011-11-29 22:54:22","2021-05-14 11:46:46","2021-09-03 07:08:00"
"1","178325","","How do I check if an element is hidden in jQuery?","<p>Is it possible to toggle the visibility of an element, using the functions <code>.hide()</code>, <code>.show()</code> or <code>.toggle()</code>?</p>

<p>How would you test if an element is <code>visible</code> or <code>hidden</code>?</p>
","21709","8200","2904266","925","178450","2008-10-07 13:03:18","2020-03-02 13:58:55","2021-07-31 04:07:09"
"1","1335851","","What does ""use strict"" do in JavaScript, and what is the reasoning behind it?","<p>Recently, I ran some of my JavaScript code through Crockford's <a href=""http://www.jslint.com/"" rel=""noreferrer"">JSLint</a>, and it gave the following error:</p>

<blockquote>
  <p>Problem at line 1 character 1: Missing ""use strict"" statement.</p>
</blockquote>

<p>Doing some searching, I realized that some people add <code>""use strict"";</code> into their JavaScript code. Once I added the statement, the error stopped appearing. Unfortunately, Google did not reveal much of the history behind this string statement. Certainly it must have something to do with how the JavaScript is interpreted by the browser, but I have no idea what the effect would be.</p>

<p>So what is <code>""use strict"";</code> all about, what does it imply, and is it still relevant?</p>

<p>Do any of the current browsers respond to the <code>""use strict"";</code> string or is it for future use?</p>
","25847","7986","1143772","1549","1335881","2009-08-26 16:10:13","2017-01-23 01:30:02","2021-07-31 04:11:02"
"1","503093","","How do I redirect to another webpage?","<p>How can I redirect the user from one page to another using jQuery or pure JavaScript?</p>
","44984","7710","6918255","2260","506004","2009-02-02 12:54:16","2018-02-06 12:40:14","2021-09-30 07:38:40"
"1","179123","","How to modify existing, unpushed commit messages?","<p>I wrote the wrong thing in a commit message.</p>

<p>How can I change the message? The commit has not been pushed yet.</p>
","7473","7657","2900241","3358","179147","2008-10-07 15:44:47","2019-05-02 10:16:02","2020-09-15 10:02:50"
"1","111102","","How do JavaScript closures work?","<p>How would you explain JavaScript closures to someone with a knowledge of the concepts they consist of (for example functions, variables and the like), but does not understand closures themselves?</p>

<p>I have seen <a href=""http://en.wikipedia.org/wiki/Scheme_%28programming_language%29"" rel=""noreferrer"">the Scheme example</a> given on Wikipedia, but unfortunately it did not help.</p>
","9951","7626","1530576","5920","111111","2008-09-21 14:12:07","2017-04-09 13:55:17","2021-08-03 01:01:05"
"1","4114095","","How do I revert a Git repository to a previous commit?","<p>How do I revert from my current state to a snapshot made on a certain commit?</p>

<p>If I do <code>git log</code>, then I get the following output:</p>

<pre><code>$ git log
commit a867b4af366350be2e7c21b8de9cc6504678a61b`
Author: Me &lt;me@me.com&gt;
Date:   Thu Nov 4 18:59:41 2010 -0400

blah blah blah...

commit 25eee4caef46ae64aa08e8ab3f988bc917ee1ce4
Author: Me &lt;me@me.com&gt;
Date:   Thu Nov 4 05:13:39 2010 -0400

more blah blah blah...

commit 0766c053c0ea2035e90f504928f8df3c9363b8bd
Author: Me &lt;me@me.com&gt;
Date:   Thu Nov 4 00:55:06 2010 -0400

And yet more blah blah...

commit 0d1d7fc32e5a947fbd92ee598033d85bfc445a50
Author: Me &lt;me@me.com&gt;
Date:   Wed Nov 3 23:56:08 2010 -0400

Yep, more blah blah.
</code></pre>

<p>How do I revert to the commit from November 3, i.e. commit <code>0d1d7fc</code>?</p>
","111174","7621","7565860","3849","4114122","2010-11-06 16:58:14","2019-12-16 13:02:52","2021-09-27 14:11:57"
"1","1783405","","How do I check out a remote Git branch?","<p>Somebody pushed a branch called <code>test</code> with <code>git push origin test</code> to a shared repository. I can see the branch with <code>git branch -r</code>.</p>

<p>Now I'm trying to check out the remote <code>test</code> branch.</p>

<p>I've tried:</p>

<ul>
<li><p><code>git checkout test</code> which does nothing</p></li>
<li><p><code>git checkout origin/test</code> gives <code>* (no branch)</code>. Which is confusing. How can I be on ""no branch""?</p></li>
</ul>

<p>How do I check out a remote Git branch?</p>
","179467","7521","6217855","1861","1783426","2009-11-23 14:23:46","2017-05-21 11:15:47","2021-09-20 15:38:18"
"1","1789945","","How to check whether a string contains a substring in JavaScript?","<p>Usually I would expect a <code>String.contains()</code> method, but there doesn't seem to be one. </p>

<p>What is a reasonable way to check for this?</p>
","131679","7418","6836325","1515","1789952","2009-11-24 13:04:29","2019-04-03 13:17:08","2021-10-01 14:40:51"
"1","61212","","How to remove local (untracked) files from the current Git working tree","<p>How do you delete untracked local files from your current working tree?</p>
","4883","7412","2578768","1778","64966","2008-09-14 09:06:10","2019-08-04 19:19:01","2021-07-28 16:00:35"
"1","336859","","var functionName = function() {} vs function functionName() {}","<p>I've recently started maintaining someone else's JavaScript code. I'm fixing bugs, adding features and also trying to tidy up the code and make it more consistent.</p>

<p>The previous developer used two ways of declaring functions and I can't work out if there is a reason behind it or not.</p>

<p>The two ways are:</p>

<pre><code>var functionOne = function() {
    // Some code
};
</code></pre>



<pre><code>function functionTwo() {
    // Some code
}
</code></pre>

<p>What are the reasons for using these two different methods and what are the pros and cons of each? Is there anything that can be done with one method that can't be done with the other?</p>
","31569","7277","1109628","2584","336868","2008-12-03 11:31:07","2020-01-28 14:42:44","2021-10-07 18:08:19"
"1","6841333","","Why is subtracting these two times (in 1927) giving a strange result?","<p>If I run the following program, which parses two date strings referencing times 1 second apart and compares them:</p>
<pre><code>public static void main(String[] args) throws ParseException {
    SimpleDateFormat sf = new SimpleDateFormat(&quot;yyyy-MM-dd HH:mm:ss&quot;);  
    String str3 = &quot;1927-12-31 23:54:07&quot;;  
    String str4 = &quot;1927-12-31 23:54:08&quot;;  
    Date sDt3 = sf.parse(str3);  
    Date sDt4 = sf.parse(str4);  
    long ld3 = sDt3.getTime() /1000;  
    long ld4 = sDt4.getTime() /1000;
    System.out.println(ld4-ld3);
}
</code></pre>
<p><strong>The output is:</strong></p>
<pre><code>353
</code></pre>
<p>Why is <code>ld4-ld3</code>, not <code>1</code> (as I would expect from the one-second difference in the times), but <code>353</code>?</p>
<p>If I change the dates to times 1 second later:</p>
<pre><code>String str3 = &quot;1927-12-31 23:54:08&quot;;  
String str4 = &quot;1927-12-31 23:54:09&quot;;  
</code></pre>
<p>Then <code>ld4-ld3</code> will be <code>1</code>.</p>
<hr />
<p><strong>Java version:</strong></p>
<pre class=""lang-none prettyprint-override""><code>java version &quot;1.6.0_22&quot;
Java(TM) SE Runtime Environment (build 1.6.0_22-b04)
Dynamic Code Evolution Client VM (build 0.2-b02-internal, 19.0-b04-internal, mixed mode)
</code></pre>
<pre class=""lang-java prettyprint-override""><code>Timezone(`TimeZone.getDefault()`):

sun.util.calendar.ZoneInfo[id=&quot;Asia/Shanghai&quot;,
offset=28800000,dstSavings=0,
useDaylight=false,
transitions=19,
lastRule=null]

Locale(Locale.getDefault()): zh_CN
</code></pre>
","342235","7233","741452","1671","6841479","2011-07-27 08:15:58","2021-05-22 07:55:13","2021-05-22 07:55:13"
"1","40480","","Is Java ""pass-by-reference"" or ""pass-by-value""?","<p>I always thought Java uses <strong>pass-by-reference</strong>.</p>
<p>However, I've seen <a href=""http://javadude.com/articles/passbyvalue.htm"" rel=""noreferrer"">a blog post</a> that claims that Java uses <strong>pass-by-value</strong>.</p>
<p>I don't think I understand the distinction they're making.</p>
<p>What is the explanation?</p>
","4315","7213","2278210","3264","","2008-09-02 20:14:29","2021-09-05 13:31:34","2021-10-09 15:54:24"
"1","419163","","What does if __name__ == ""__main__"": do?","<p>Given the following code, what does the <code>if __name__ == ""__main__"":</code> do?</p>

<pre><code># Threading example
import time, thread

def myfunction(string, sleeptime, lock, *args):
    while True:
        lock.acquire()
        time.sleep(sleeptime)
        lock.release()
        time.sleep(sleeptime)

if __name__ == ""__main__"":
    lock = thread.allocate_lock()
    thread.start_new_thread(myfunction, (""Thread #: 1"", 2, lock))
    thread.start_new_thread(myfunction, (""Thread #: 2"", 2, lock))
</code></pre>
","51518","7077","3671882","3030","419185","2009-01-07 04:11:00","2020-02-26 21:04:44","2021-09-18 20:08:54"
"1","7074","","What is the difference between String and string in C#?","<p>Example (<em>note the case</em>):</p>

<pre class=""lang-cs prettyprint-override""><code>string s = ""Hello world!"";
String s = ""Hello world!"";
</code></pre>

<p>What are the guidelines for the use of each? And what are the differences?</p>
","571","7025","1186939","978","7077","2008-08-10 07:18:02","2020-04-10 21:34:02","2021-08-25 18:37:40"
"1","394809","","Does Python have a ternary conditional operator?","<p>If Python does not have a ternary conditional operator, is it possible to simulate one using other language constructs?</p>
","51518","6950","2295702","992","394814","2008-12-27 08:32:18","2019-08-09 14:12:26","2021-01-23 16:29:26"
"1","208105","","Remove properties from objects (JavaScript)","<p>Say I create an object as follows:</p>
<pre class=""lang-js prettyprint-override""><code>let myObject = {
  &quot;ircEvent&quot;: &quot;PRIVMSG&quot;,
  &quot;method&quot;: &quot;newURI&quot;,
  &quot;regex&quot;: &quot;^http://.*&quot;,
};
</code></pre>
<p>How should I remove the property <code>regex</code> to end up with new <code>myObject</code> as follows?</p>
<pre class=""lang-js prettyprint-override""><code>let myObject = {
  &quot;ircEvent&quot;: &quot;PRIVMSG&quot;,
  &quot;method&quot;: &quot;newURI&quot;,
};
</code></pre>
","27929","6776","2622584","1066","208106","2008-10-16 10:57:45","2021-10-08 16:00:00","2021-10-08 16:00:00"
"1","1274057","","How can I make Git ""forget"" about a file that was tracked, but is now in .gitignore?","<p>There is a file that was being tracked by Git, but now the file is on the <code>.gitignore</code> list.</p>
<p>However, that file keeps showing up in <code>git status</code> after it's edited. How do you force Git to completely forget about it?</p>
","16957","6606","1619732","2086","1274447","2009-08-13 19:23:22","2021-07-20 21:54:13","2021-08-02 14:19:18"
"1","100003","","What are metaclasses in Python?","<p>In Python, what are metaclasses and what do we use them for?</p>
","9951","6382","930170","4097","100146","2008-09-19 06:10:46","2021-01-13 03:43:24","2021-10-03 16:06:40"
"1","82831","","How do I check whether a file exists without exceptions?","<p>How do I check whether a file exists or not, without using the <a href=""https://docs.python.org/3.6/reference/compound_stmts.html#try"" rel=""noreferrer""><code>try</code></a> statement?</p>
","15616","6360","4569002","1017","","2008-09-17 12:55:00","2021-03-27 19:42:25","2021-09-20 18:47:57"
