Id,TagName,Count,ExcerptPostId,WikiPostId,IsModeratorOnly,IsRequired
"1",".net","310793","3624959","3607476","",""
"2","html","1088688","3673183","3673182","",""
"3","javascript","2265517","3624960","3607052","",""
"4","css","730672","3644670","3644669","",""
"5","php","1413394","3624936","3607050","",""
"8","c","364034","3624961","3607013","",""
"9","c#","1495832","3624962","3607007","",""
"10","c++","736134","3624963","3606997","",""
"16","python","1788718","3624965","3607014","",""
"17","java","1796560","3624966","3607018","",""
"18","regex","243564","3624967","3607017","",""
"22","sql","603140","3625226","3607304","",""
"23","tsql","68149","4777787","4777786","",""
"27","browser","24982","5388160","5388159","",""
"30","database","180662","4973766","4973765","",""
"33","language-agnostic","8181","5197182","5197181","",""
"34","unix","45534","4957075","4957074","",""
"38","apache-flex","24076","3625227","3608598","",""
"48","architecture","15886","4083816","4083815","",""
"58","linux","207993","3625112","3607012","",""
"72","sql-server","308511","3625231","3607030","",""
"114","arrays","371601","4969094","4969093","",""
"119","git","136098","3625234","3607047","",""
"134","sorting","69033","5009631","5009630","",""
"136","security","53219","3625053","3612218","",""
"137","oop","56842","4913607","4913606","",""
"139","string","167788","4887591","4887590","",""
"146","email","56612","5483666","5483665","",""
"183","authentication","51517","5253712","5253711","",""
"218","directory","17973","5840336","5840335","",""
"227","iteration","9438","8364364","8364363","",""
"248","algorithm","109542","3625246","3620111","",""
"276","variables","49688","5151905","5151904","",""
"293","vi","1995","5310904","5310903","",""
"318","article","354","21794781","21794780","",""
"343","collections","22522","5756317","5756316","",""
"345","io","16590","5055064","5055063","",""
"355","validation","63090","5114527","5114526","",""
"361","methods","28179","6016074","6016073","",""
"363","ajax","217031","3877045","3877044","",""
"364","rest","84045","3624973","3607594","",""
"365","url","41136","5147326","5147325","",""
"367","syntax","19982","5643521","5643520","",""
"370","vim","26964","3624974","3607606","",""
"387","bash","137821","5094497","5094496","",""
"390","shell","84081","4958351","4958350","",""
"391","terminal","21271","5094651","5094650","",""
"432","import","23896","7933864","7933863","",""
"456","version-control","16427","3933491","3933490","",""
"463","coldfusion","13754","3625252","3607120","",""
"469","checkbox","28357","5289719","5289718","",""
"543","optimization","34771","5112271","5112270","",""
"598","performance","94424","5048293","5048292","",""
"623","complexity-theory","3571","5786559","5786558","",""
"624","big-o","5996","5110603","5110602","",""
"631","foreach","23498","5479110","5479109","",""
"694","null","14839","5168462","5168461","",""
"717","merge","21842","5143758","5143757","",""
"820","jquery","1016910","3625262","3607053","",""
"865","user-interface","52566","3625266","3623067","",""
"904","post","38418","5599997","5599996","",""
"946","uuid","2823","7085832","7085831","",""
"982","timezone","11122","5828026","5828025","",""
"1078","enums","20063","5036293","5036292","",""
"1090","stack","9940","5276946","5276945","",""
"1151","select","37252","5623507","5623506","",""
"1190","redirect","38240","6030030","6030029","",""
"1271","grep","15134","5094619","5094618","",""
"1386","android","1346946","3625001","3607484","",""
"1448","alias","3972","10872686","10872685","",""
"1469","text","29273","5543709","5543708","",""
"1508","json","324934","4889848","4889847","",""
"1538","computer-science","3959","5637490","5637489","",""
"1608","soap","26912","4988090","4988089","",""
"1609","wsdl","9146","4636274","4636273","",""
"1644","dom","38450","3625014","3607731","",""
"1680","closures","8266","5654220","5654219","",""
"1709","actionscript","9139","4688329","4688328","",""
"1796","command","9834","9652702","9652701","",""
"1834","dictionary","65200","6168485","6168484","",""
"1879","branch","5059","6350354","6350353","",""
"1926","types","24453","5688861","5688860","",""
"1966","comments","5969","7576964","7576963","",""
"1987","operating-system","12344","5408896","5408895","",""
"1993","posix","5522","7006700","7006699","",""
"2097","iterator","13180","5245581","5245580","",""
"2181","visibility","3032","8353264","8353263","",""
"2182","scope","16453","5526466","5526465","",""
"2244","uri","5802","5572821","5572820","",""
"2274","main","2832","7562975","7562974","",""
"2313","arguments","9993","9086562","9086561","",""
"2314","loops","83701","5107864","5107863","",""
"2348","subprocess","10700","8906236","8906235","",""
"2443","asynchronous","45720","3625032","3615096","",""
"2498","replace","25164","7651071","7651070","",""
"2678","memory-management","25992","6016041","6016040","",""
"2684","enumeration","1787","7931779","7931778","",""
"2685","iterable","1110","19567859","19567858","",""
"2743","symbols","3255","13667612","13667611","",""
"2983","content-type","2252","8500743","8500742","",""
"3050","clone","4255","8386430","8386429","",""
"3485","idioms","1144","8752213","8752212","",""
"3539","yield","1601","11689355","11689354","",""
"3567","guid","1931","8338541","8338540","",""
"3626","join","39080","5182791","5182790","",""
"3660","var","2244","4913416","4913415","",""
"3664","namespaces","11691","5135184","5135183","",""
"4162","code-formatting","1470","7148512","7148511","",""
"4197","equality","1952","14406608","14406607","",""
"4371","substring","8577","8332229","8332228","",""
"5002","date","69059","5004540","5004539","",""
"5142","exception","39358","5316477","5316476","",""
